ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Methodology	Add
MethodologyGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Methodology	Add
MethodologyDirector	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Methodology	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Actuary	Add
ActuaryGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Actuary	Add
ActuaryGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
ActuaryGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Legal	Add
LegalGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Legal	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Security	Add
SecurityGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Security	Add
SecurityGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
SecurityGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Underwriting	Add
UnderwritingGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Underwriting	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	PartnerSalesSupport	Add
PartnerSalesSupportGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	PartnerSalesSupport	Add
PartnerSalesSupportGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
PartnerSalesSupportGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	ClientServiceCenter	Add
ClientServiceCenterGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	ClientServiceCenter	Add
ClientServiceCenterGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
ClientServiceCenterGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
Administrator	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	CallCenter	Add
CallCenterGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	CallCenter	Add
CallCenterGroup	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
CallCenterGroup	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
ComplianceGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
PodftGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	System	Add
General	Allow Actor	CreditLifeInsuranceTechnicalAmendment	DocumentConfiguration	System	Add
General	Allow Actor	CreditLifeInsuranceTechnicalAmendment	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceTechnicalAmendment	DocumentConfiguration	Operations	Add
OperationsGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
GeneralBackOffice	Allow Actor	PolicyChangeAmendmentCommentsView	ViewConfiguration	General	Add
GeneralBackOffice	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	Viewer	Add
System	Allow Actor	CreditLifeInsuranceNonFinChange	DocumentConfiguration	System	Add
System	Allow Actor	CreditLifeInsuranceFinChange	DocumentConfiguration	System	Add
SpecificSales	Allow Actor	CreditLifeInsuranceQuote	DocumentConfiguration	Agent	Add
SpecificSales	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	Agent	Add
System	Allow Actor	CreditLifeInsurancePolicy	DocumentConfiguration	System	Add
Administrator	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	ContractAdministrator	Add
ContractModification	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	ContractAdministrator	Add
System	Allow Actor	CreditLifeInsuranceCancellation	DocumentConfiguration	System	Add
General	Execute Service	ImportCreditLifeCoolOffDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ImportCreditLifePolicyDataSource	DataSourceConfiguration	*	Add
Administrator	Allow Actor	CreditLifeInsurancePortfolioMovement	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	CreditLifeInsurancePortfolioMovement	DocumentConfiguration	Viewer	Add
AccountingGroup	Allow Actor	CreditLifeInsurancePortfolioMovement	DocumentConfiguration	Viewer	Add
System	Allow Actor	CreditLifeInsurancePortfolioMovement	DocumentConfiguration	System	Add
