ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	System	Add
System	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	System	Add
Administrator	Allow Actor	AccidentLifeInsurancePolicy	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	AccidentLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	AccidentLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccountingGroup	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	AccidentLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	AccidentLifeInsurancePolicy	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	AccidentLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
UKSPGroup	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsDirectorGroup	Allow Actor	AccidentLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
