ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
ClaimAdministrator	Allow Actor	Claim	DocumentConfiguration	ClaimAdministrator	Add
ClaimAdministrator	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
ClaimDirector	Allow Actor	Claim	DocumentConfiguration	ClaimDirector	Add
ClaimDirector	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
ClaimsGroup	Allow Actor	Claim	DocumentConfiguration	ClaimManager	Add
ClaimsGroup	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
LegalGroup	Allow Actor	Claim	DocumentConfiguration	Legal	Add
MethodologyDirector	Allow Actor	Claim	DocumentConfiguration	MethodologyDirector	Add
MethodologyDirector	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
OperationsGroup	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
SecurityGroup	Allow Actor	Claim	DocumentConfiguration	Security	Add
SecurityGroup	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
ViewClaim	Allow Actor	Claim	DocumentConfiguration	ViewClaim	Add
ClaimAdministrator	Allow Actor	CollectiveClaim	DocumentConfiguration	ClaimAdministrator	Add
ClaimAdministrator	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
ClaimDirector	Allow Actor	CollectiveClaim	DocumentConfiguration	ClaimDirector	Add
ClaimDirector	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
ClaimsGroup	Allow Actor	CollectiveClaim	DocumentConfiguration	ClaimManager	Add
ClaimsGroup	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
LegalGroup	Allow Actor	CollectiveClaim	DocumentConfiguration	Legal	Add
MethodologyDirector	Allow Actor	CollectiveClaim	DocumentConfiguration	MethodologyDirector	Add
MethodologyDirector	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
OperationsGroup	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
SecurityGroup	Allow Actor	CollectiveClaim	DocumentConfiguration	Security	Add
SecurityGroup	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
ViewClaim	Allow Actor	CollectiveClaim	DocumentConfiguration	ViewClaim	Add
ClaimsGroup	Allow Actor	CollectiveClaimImport	DocumentConfiguration	ClaimManager	Add
System	Allow Actor	CollectiveClaimImport	DocumentConfiguration	System	Add
AccountingGroup	Allow Actor	Endowment	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	Endowment	DocumentConfiguration	ViewEndowment	Add
ActuaryGroup	Allow Actor	Endowment	DocumentConfiguration	Actuary	Add
ActuaryGroup	Allow Actor	Endowment	DocumentConfiguration	ViewEndowment	Add
CallCenterGroup	Allow Actor	Endowment	DocumentConfiguration	CallCenter	Add
CallCenterGroup	Allow Actor	Endowment	DocumentConfiguration	ViewEndowment	Add
ClientServiceCenterGroup	Allow Actor	Endowment	DocumentConfiguration	ClientServiceCenter	Add
ClientServiceCenterGroup	Allow Actor	Endowment	DocumentConfiguration	ViewEndowment	Add
ComplianceGroup	Allow Actor	Endowment	DocumentConfiguration	Compliance	Add
